Uncertainty, Min, Max, Min(%), Max(%)
btagWeight_bc_uncorr_18 , VG_18 ,  Top_18,  0.000 , 0.220
btagWeight_l_corr , VG_16 ,  Top_18,  0.000 , 6.947
btagWeight_l_uncorr_16 , VG_16 ,  Top_16,  0.000 , 4.770
btagWeight_l_uncorr_17 , VG_17 ,  Top_17,  0.000 , 6.417
btagWeight_l_uncorr_18 , VG_18 ,  Top_18,  0.000 , 6.910
ele_id , VG_16 ,  VG_17,  0.000 , 100.472
ele_reco , VG_16 ,  VG_17,  0.000 , 4.792
fakerate_16Stat , FakeLep_16 ,  FakeLep_16,  11.008 , 11.008
fakerate_16Sys , FakeLep_16 ,  FakeLep_16,  58.499 , 58.499
fakerate_17Stat , FakeLep_17 ,  FakeLep_17,  10.481 , 10.481
fakerate_17Sys , FakeLep_17 ,  FakeLep_17,  66.918 , 66.918
fakerate_18Stat , FakeLep_18 ,  FakeLep_18,  5.273 , 5.273
fakerate_18Sys , FakeLep_18 ,  FakeLep_18,  38.289 , 38.289
jer_16 , VG_16 ,  VV_16,  0.000 , 2.716
jer_17 , VG_17 ,  Top_17,  0.000 , 2.680
jer_18 , VG_18 ,  Top_18,  0.000 , 5.724
jesTotal_16 , VG_16 ,  aQGC_16,  0.000 , 0.748
jesTotal_17 , VG_17 ,  VVV_17,  0.000 , 85.336
jesTotal_18 , VG_18 ,  Top_18,  0.000 , 11.040
l1pref , VG_16 ,  Top_17,  0.000 , 1.941
lumi_16 , aQGC_16 ,  aQGC_16,  1.000 , 1.000
lumi_17 , aQGC_17 ,  aQGC_17,  2.000 , 2.000
lumi_1718 , aQGC_18 ,  aQGC_17,  0.200 , 0.600
lumi_18 , aQGC_18 ,  aQGC_18,  1.500 , 1.500
lumi_fullrun2 , aQGC_16 ,  aQGC_18,  0.600 , 2.000
muon_id , VG_16 ,  VV_16,  0.000 , 0.559
photon_id , VG_16 ,  Top_17,  0.000 , 4.648
pileup , VG_16 ,  VG_17,  0.000 , 13.608
