process                  type                  aQGC_ch1      VG_ch1        VVV_ch1       Top_ch1       FakePho_ch1   VV_ch1        FakeLep_ch1   aQGC_ch2      VG_ch2        VVV_ch2       Top_ch2       FakePho_ch2   VV_ch2        FakeLep_ch2   aQGC_ch3      VG_ch3        VVV_ch3       Top_ch3       FakePho_ch3   VV_ch3        FakeLep_ch3 
fakerate_17Mu           lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         1.392471  -         -         -         -         -         -         -       
fakerate_17Sta          lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         1.105026  -         -         -         -         -         -         -       
fakerate_18Ele          lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.333242
fakerate_18Mu           lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.032432
fakerate_18Sta          lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.051809
jer_16                  lnN                1.000177  1.0       1.0       1.00432   -         1.029631  -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
jer_17                  lnN                -         -         -         -         -         -         -         1.007104  1.0       1.0       1.024849  -         1.016509  -         -         -         -         -         -         -         -       
jer_18                  lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.013852  1.0       1.024526  1.050891  -         1.02948   -       
jesTotal_16             lnN                1.007484  1.0       1.0       1.00432   -         1.018955  -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
jesTotal_17             lnN                -         -         -         -         -         -         -         1.007931  1.0       1.85336   1.0       -         1.052045  -         -         -         -         -         -         -         -       
jesTotal_18             lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.005868  1.0       1.022018  1.054309  -         1.025532  -       
l1pref                  lnN                1.011447  1.0       1.0       1.019308  -         1.012816  -         1.01474   1.000252  1.001547  1.017852  -         1.008778  -         -         -         -         -         -         -         -       
lumi_16                 lnN                1.01      1.01      1.01      1.01      -         1.01      -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
lumi_17                 lnN                -         -         -         -         -         -         -         1.02      1.02      1.02      1.02      1.02      1.02      -         -         -         -         -         -         -         -       
lumi_1718               lnN                -         -         -         -         -         -         -         1.006     1.006     1.006     1.006     1.006     1.006     -         1.002     1.002     1.002     1.002     1.002     1.002     -       
lumi_18                 lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.015     1.015     1.015     1.015     1.015     1.015     -       
lumi_fullrun2           lnN                1.006     1.006     1.006     1.006     -         1.006     -         1.009     1.009     1.009     1.009     1.009     1.009     -         1.02      1.02      1.02      1.02      1.02      1.02      -       
muon_id                 lnN                1.004588  1.0       1.0       1.001747  -         1.005328  -         1.002811  1.000773  1.005068  1.003234  -         1.002633  -         1.001618  1.0       1.001971  1.002354  -         1.001448  -       
photon_id               lnN                1.023237  1.0       1.0       1.02529   -         1.02182   -         1.026379  1.023447  1.019735  1.021128  -         1.022425  -         1.022133  1.0       1.019542  1.010777  -         1.020024  -       
pileup                  lnN                1.005827  1.0       1.0       1.092738  -         1.057613  -         1.011319  1.136079  1.103735  1.05265   -         1.06133   -         1.018374  1.0       1.003987  1.013528  -         1.01744   -       
